catalog,field,type,category,title,modified
caid,ndc_description,ndc_description,ndc,NADAC Comparison,2025-07-08
caid,ndc,ndc,ndc,NADAC Comparison,2025-07-08
caid,old_nadac_per_unit,old_nadac_per_unit,NA,NADAC Comparison,2025-07-08
caid,new_nadac_per_unit,new_nadac_per_unit,NA,NADAC Comparison,2025-07-08
caid,classification_for_rate_setting,classification_for_rate_setting,NA,NADAC Comparison,2025-07-08
caid,percent_change,percent_change,NA,NADAC Comparison,2025-07-08
caid,primary_reason,primary_reason,NA,NADAC Comparison,2025-07-08
caid,start_date,start_date,date,NADAC Comparison,2025-07-08
caid,end_date,end_date,date,NADAC Comparison,2025-07-08
caid,effective_date,effective_date,date,NADAC Comparison,2025-07-08
caid,state_abbreviation,state_abbreviation,state,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,state_name,state_name,state,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,reporting_period,reporting_period,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,state_expanded_medicaid,state_expanded_medicaid,state,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,preliminary_or_updated,preliminary_or_updated,date,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,final_report,final_report,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,new_applications_submitted_to_medicaid_and_chip_agencies,new_applications_submitted_to_medicaid_and_chip_agencies,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,applications_for_financial_assistance_submitted_to_the_stat_104d,applications_for_financial_assistance_submitted_to_the_stat_104d,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,applications_for_financial_assistance_submitted_to_the_stat_c640,applications_for_financial_assistance_submitted_to_the_stat_c640,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_applications_for_financial_assistance_submitted_at_st_d6fa,total_applications_for_financial_assistance_submitted_at_st_d6fa,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_applications_for_financial_assistance_submitted_at_st_9919,total_applications_for_financial_assistance_submitted_at_st_9919,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_medicaid_at_application,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,individuals_determined_eligible_for_medicaid_at_application_4f96,individuals_determined_eligible_for_medicaid_at_application_4f96,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,individuals_determined_eligible_for_chip_at_application,individuals_determined_eligible_for_chip_at_application,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,individuals_determined_eligible_for_chip_at_application__fo_e28a,individuals_determined_eligible_for_chip_at_application__fo_e28a,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations,total_medicaid_and_chip_determinations,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations__footnotes,total_medicaid_and_chip_determinations__footnotes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,medicaid_and_chip_child_enrollment,medicaid_and_chip_child_enrollment,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,medicaid_and_chip_child_enrollment__footnotes,medicaid_and_chip_child_enrollment__footnotes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_enrollment,total_medicaid_and_chip_enrollment,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_enrollment__footnotes,total_medicaid_and_chip_enrollment__footnotes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_enrollment,total_medicaid_enrollment,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_enrollment__footnotes,total_medicaid_enrollment__footnotes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_chip_enrollment,total_chip_enrollment,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_chip_enrollment__footnotes,total_chip_enrollment__footnotes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_adult_medicaid_enrollment,total_adult_medicaid_enrollment,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_adult_medicaid_enrollment__footnotes,total_adult_medicaid_enrollment__footnotes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_in_less_th_1e84,total_medicaid_and_chip_determinations_processed_in_less_th_1e84,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_in_less_th_46c2,total_medicaid_and_chip_determinations_processed_in_less_th_46c2,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_between_24_756e,total_medicaid_and_chip_determinations_processed_between_24_756e,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_between_24_cf22,total_medicaid_and_chip_determinations_processed_between_24_cf22,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_between_8__a7a5,total_medicaid_and_chip_determinations_processed_between_8__a7a5,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_between_8__e6e5,total_medicaid_and_chip_determinations_processed_between_8__e6e5,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_between_31_a42c,total_medicaid_and_chip_determinations_processed_between_31_a42c,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_between_31_49fa,total_medicaid_and_chip_determinations_processed_between_31_49fa,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_in_more_th_a7ec,total_medicaid_and_chip_determinations_processed_in_more_th_a7ec,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_medicaid_and_chip_determinations_processed_in_more_th_bfce,total_medicaid_and_chip_determinations_processed_in_more_th_bfce,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_call_center_volume_number_of_calls,total_call_center_volume_number_of_calls,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,total_call_center_volume_number_of_calls__footnotes,total_call_center_volume_number_of_calls__footnotes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,average_call_center_wait_time_minutes,average_call_center_wait_time_minutes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,average_call_center_wait_time_minutes__footnotes,average_call_center_wait_time_minutes__footnotes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,average_call_center_abandonment_rate,average_call_center_abandonment_rate,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,average_call_center_abandonment_rate__footnotes,average_call_center_abandonment_rate__footnotes,NA,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",2025-06-27
caid,product_group,product_group,NA,ACA Federal Upper Limits,2025-06-27
caid,ingredient,ingredient,NA,ACA Federal Upper Limits,2025-06-27
caid,strength,strength,NA,ACA Federal Upper Limits,2025-06-27
caid,dosage,dosage,NA,ACA Federal Upper Limits,2025-06-27
caid,route,route,NA,ACA Federal Upper Limits,2025-06-27
caid,mdr_unit_type,mdr_unit_type,NA,ACA Federal Upper Limits,2025-06-27
caid,weighted_average_of_amps,weighted_average_of_amps,NA,ACA Federal Upper Limits,2025-06-27
caid,aca_ful,aca_ful,NA,ACA Federal Upper Limits,2025-06-27
caid,package_size,package_size,NA,ACA Federal Upper Limits,2025-06-27
caid,ndc,ndc,ndc,ACA Federal Upper Limits,2025-06-27
caid,arated,arated,NA,ACA Federal Upper Limits,2025-06-27
caid,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,multiplier_greater_than_175_percent_of_weighted_avg_of_amps,NA,ACA Federal Upper Limits,2025-06-27
caid,year,year,date,ACA Federal Upper Limits,2025-06-27
caid,month,month,date,ACA Federal Upper Limits,2025-06-27
caid,state_abbreviation,state_abbreviation,state,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,state_name,state_name,state,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,reporting_period,reporting_period,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,original_or_updated,original_or_updated,date,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_with_a_renewal_initiated,beneficiaries_with_a_renewal_initiated,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_with_a_renewal_initiated__footnotes,beneficiaries_with_a_renewal_initiated__footnotes,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_with_a_renewal_due,beneficiaries_with_a_renewal_due,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_with_a_renewal_due__footnotes,beneficiaries_with_a_renewal_due__footnotes,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_whose_coverage_was_renewed_total,beneficiaries_whose_coverage_was_renewed_total,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_whose_coverage_was_renewed_total__footnotes,beneficiaries_whose_coverage_was_renewed_total__footnotes,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_whose_coverage_was_renewed_on_an_ex_parte_basis,beneficiaries_whose_coverage_was_renewed_on_an_ex_parte_basis,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_whose_coverage_was_renewed_on_an_ex_parte_bas_6356,beneficiaries_whose_coverage_was_renewed_on_an_ex_parte_bas_6356,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_whose_coverage_was_renewed_based_on_a_renewal_form,beneficiaries_whose_coverage_was_renewed_based_on_a_renewal_form,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_whose_coverage_was_renewed_based_on_a_renewal_a744,beneficiaries_whose_coverage_was_renewed_based_on_a_renewal_a744,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_disenrolled_at_renewal_total,beneficiaries_disenrolled_at_renewal_total,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_disenrolled_at_renewal_total__footnotes,beneficiaries_disenrolled_at_renewal_total__footnotes,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_determined_ineligible_at_renewal,beneficiaries_determined_ineligible_at_renewal,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_determined_ineligible_at_renewal__footnotes,beneficiaries_determined_ineligible_at_renewal__footnotes,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_disenrolled_for_procedural_reasons_at_renewal,beneficiaries_disenrolled_for_procedural_reasons_at_renewal,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_disenrolled_for_procedural_reasons_at_renewal_7828,beneficiaries_disenrolled_for_procedural_reasons_at_renewal_7828,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_with_a_pending_renewal,beneficiaries_with_a_pending_renewal,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,beneficiaries_with_a_pending_renewal__footnotes,beneficiaries_with_a_pending_renewal__footnotes,NA,State Medicaid and CHIP Eligibility Processing Data,2025-06-27
caid,state_abbreviation,state_abbreviation,state,Separate CHIP Enrollment by Month and State,2025-06-27
caid,coverage_month,coverage_month,date,Separate CHIP Enrollment by Month and State,2025-06-27
caid,tmsis_data_through_month,tmsis_data_through_month,date,Separate CHIP Enrollment by Month and State,2025-06-27
caid,schip_enrollment,schip_enrollment,NA,Separate CHIP Enrollment by Month and State,2025-06-27
caid,data_notes,data_notes,NA,Separate CHIP Enrollment by Month and State,2025-06-27
caid,state_abbreviation,state_abbreviation,state,State Medicaid and CHIP Test,2025-06-25
caid,state_name,state_name,state,State Medicaid and CHIP Test,2025-06-25
caid,reporting_period,reporting_period,NA,State Medicaid and CHIP Test,2025-06-25
caid,state_expanded_medicaid,state_expanded_medicaid,state,State Medicaid and CHIP Test,2025-06-25
caid,preliminary_or_updated,preliminary_or_updated,date,State Medicaid and CHIP Test,2025-06-25
caid,final_report,final_report,NA,State Medicaid and CHIP Test,2025-06-25
caid,new_applications_submitted_to_medicaid_and_chip_agencies,new_applications_submitted_to_medicaid_and_chip_agencies,NA,State Medicaid and CHIP Test,2025-06-25
caid,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,NA,State Medicaid and CHIP Test,2025-06-25
caid,applications_for_financial_assistance_submitted_to_the_stat_104d,applications_for_financial_assistance_submitted_to_the_stat_104d,NA,State Medicaid and CHIP Test,2025-06-25
caid,applications_for_financial_assistance_submitted_to_the_stat_c640,applications_for_financial_assistance_submitted_to_the_stat_c640,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_applications_for_financial_assistance_submitted_at_st_d6fa,total_applications_for_financial_assistance_submitted_at_st_d6fa,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_applications_for_financial_assistance_submitted_at_st_9919,total_applications_for_financial_assistance_submitted_at_st_9919,NA,State Medicaid and CHIP Test,2025-06-25
caid,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_medicaid_at_application,NA,State Medicaid and CHIP Test,2025-06-25
caid,individuals_determined_eligible_for_medicaid_at_application_4f96,individuals_determined_eligible_for_medicaid_at_application_4f96,NA,State Medicaid and CHIP Test,2025-06-25
caid,individuals_determined_eligible_for_chip_at_application,individuals_determined_eligible_for_chip_at_application,NA,State Medicaid and CHIP Test,2025-06-25
caid,individuals_determined_eligible_for_chip_at_application__fo_e28a,individuals_determined_eligible_for_chip_at_application__fo_e28a,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations,total_medicaid_and_chip_determinations,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_determinations__footnotes,total_medicaid_and_chip_determinations__footnotes,NA,State Medicaid and CHIP Test,2025-06-25
caid,medicaid_and_chip_child_enrollment,medicaid_and_chip_child_enrollment,NA,State Medicaid and CHIP Test,2025-06-25
caid,medicaid_and_chip_child_enrollment__footnotes,medicaid_and_chip_child_enrollment__footnotes,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_enrollment,total_medicaid_and_chip_enrollment,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_and_chip_enrollment__footnotes,total_medicaid_and_chip_enrollment__footnotes,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_enrollment,total_medicaid_enrollment,NA,State Medicaid and CHIP Test,2025-06-25
caid,total_medicaid_enrollment__footnotes,total_medicaid_enrollment__footnotes,NA,State Medicaid and CHIP Test,2025-06-25
