catalog,title,field,modified
Medicaid,NADAC Comparison,ndc_description,2025-07-08
Medicaid,NADAC Comparison,ndc,2025-07-08
Medicaid,NADAC Comparison,old_nadac_per_unit,2025-07-08
Medicaid,NADAC Comparison,new_nadac_per_unit,2025-07-08
Medicaid,NADAC Comparison,classification_for_rate_setting,2025-07-08
Medicaid,NADAC Comparison,percent_change,2025-07-08
Medicaid,NADAC Comparison,primary_reason,2025-07-08
Medicaid,NADAC Comparison,start_date,2025-07-08
Medicaid,NADAC Comparison,end_date,2025-07-08
Medicaid,NADAC Comparison,effective_date,2025-07-08
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",state_abbreviation,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",state_name,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",reporting_period,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",state_expanded_medicaid,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",preliminary_or_updated,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",final_report,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",new_applications_submitted_to_medicaid_and_chip_agencies,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",applications_for_financial_assistance_submitted_to_the_stat_104d,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",applications_for_financial_assistance_submitted_to_the_stat_c640,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",total_applications_for_financial_assistance_submitted_at_st_d6fa,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",total_applications_for_financial_assistance_submitted_at_st_9919,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",individuals_determined_eligible_for_medicaid_at_application,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",individuals_determined_eligible_for_medicaid_at_application_4f96,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",individuals_determined_eligible_for_chip_at_application,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",individuals_determined_eligible_for_chip_at_application__fo_e28a,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",total_medicaid_and_chip_determinations,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",total_medicaid_and_chip_determinations__footnotes,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",medicaid_and_chip_child_enrollment,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",medicaid_and_chip_child_enrollment__footnotes,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",total_medicaid_and_chip_enrollment,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",total_medicaid_and_chip_enrollment__footnotes,2025-06-27
Medicaid,"State Medicaid and CHIP Applications, Eligibility Determinations, and Enrollment Data",total_medicaid_enrollment,2025-06-27
