catalog,title,field,modified
Medicare,ACO REACH Aligned Beneficiaries,aco_id,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,year,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,state_id,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,county_id,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,state_name,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,county_name,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,elig_months_ad,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,elig_months_esrd,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,elig_months_total,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,aligned_beneficiaries_ad,2025-05-21
Medicare,ACO REACH Aligned Beneficiaries,aligned_beneficiaries_esrd,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,perf_year,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,state_name,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,county_name,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,state_id,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,county_id,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,expnd_pbpm_ad,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,avg_prosp_risk_score_ad,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,elig_months_ad,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,expnd_pbpm_esrd,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,avg_prosp_risk_score_esrd,2025-05-21
Medicare,ACO REACH Eligible Beneficiaries,elig_months_esrd,2025-05-21
Medicare,ACO REACH Financial and Quality Results,ACO_ID,2025-05-21
Medicare,ACO REACH Financial and Quality Results,ACO_NAME,2025-05-21
Medicare,ACO REACH Financial and Quality Results,ACO_TYPE,2025-05-21
Medicare,ACO REACH Financial and Quality Results,FIRST_PART_YEAR,2025-05-21
Medicare,ACO REACH Financial and Quality Results,PERF_YEAR,2025-05-21
