catalog,title,field,modified
HealthcareGov,Find Local Help,record_id,2025-07-14
HealthcareGov,Find Local Help,data_set_name,2025-07-14
HealthcareGov,Find Local Help,organization_name,2025-07-14
HealthcareGov,Find Local Help,main_phone_number,2025-07-14
HealthcareGov,Find Local Help,street_address,2025-07-14
HealthcareGov,Find Local Help,city,2025-07-14
HealthcareGov,Find Local Help,state_or_territory,2025-07-14
HealthcareGov,Find Local Help,zip_code,2025-07-14
HealthcareGov,Find Local Help,non_english_assistance_offered,2025-07-14
HealthcareGov,Find Local Help,organization_acronym,2025-07-14
HealthcareGov,Find Local Help,office_hours,2025-07-14
HealthcareGov,Find Local Help,toll_free_phone,2025-07-14
HealthcareGov,Find Local Help,tty_phone,2025-07-14
HealthcareGov,Find Local Help,language_line_phone_for_non_english_speakers,2025-07-14
HealthcareGov,Find Local Help,location_name,2025-07-14
HealthcareGov,Find Local Help,website_url,2025-07-14
HealthcareGov,Find Local Help,additional_information,2025-07-14
HealthcareGov,Find Local Help,accessibility_service_offered,2025-07-14
HealthcareGov,Find Local Help,geo_location,2025-07-14
HealthcareGov,Find Local Help,email_address,2025-07-14
HealthcareGov,Find Local Help,display,2025-07-14
HealthcareGov,Find Local Help,display_address,2025-07-14
HealthcareGov,Find Local Help,address_comment,2025-07-14
HealthcareGov,Agent Broker Registration Tracker,npn_indiv,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,user_work_zip_code,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,find_local_help_preference,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,portal_account_active,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,id_proofing,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,mlms_profile_complete,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,im_new_complete_courses,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,im_new_sign_agreements,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,im_returning_complete_courses,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,im_returning_sign_agreements,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,shop_complete_courses,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,shop_sign_agreements,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,license_status,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,approved_loa,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,active_loa,2025-07-11
HealthcareGov,Agent Broker Registration Tracker,hod_training_complete,2025-07-11
HealthcareGov,AB Registration Completion List,npn,2025-07-11
HealthcareGov,AB Registration Completion List,applicable_plan_year,2025-07-11
HealthcareGov,AB Registration Completion List,individual_registration_completion_date,2025-07-11
HealthcareGov,AB Registration Completion List,individual_marketplace_end_date,2025-07-11
HealthcareGov,AB Registration Completion List,shop_registration_completion_date,2025-07-11
HealthcareGov,AB Registration Completion List,shop_end_date,2025-07-11
HealthcareGov,AB Registration Completion List,npn_valid_current_plan_year_only,2025-07-11
HealthcareGov,AB Suspension and Termination List,npn,2025-07-11
HealthcareGov,AB Suspension and Termination List,effective_plan_year,2025-07-11
HealthcareGov,AB Suspension and Termination List,marketplaces,2025-07-11
HealthcareGov,AB Suspension and Termination List,registration_completion_date,2025-07-11
HealthcareGov,AB Suspension and Termination List,individual_registration_date,2025-07-11
HealthcareGov,AB Suspension and Termination List,shop_registration_date,2025-07-11
HealthcareGov,AB Suspension and Termination List,termination_or_suspension_date,2025-07-11
HealthcareGov,AB Suspension and Termination List,termination_reconsidered_or_suspension_lifted,2025-07-11
HealthcareGov,Issuer_Partner_Lookup,partner_name,2025-01-13
HealthcareGov,Issuer_Partner_Lookup,partner_type,2025-01-13
HealthcareGov,Issuer_Partner_Lookup,direct_enrollment_services,2025-01-13
HealthcareGov,Issuer_Partner_Lookup,informational_website_for_agents_and_brokers,2025-01-13
HealthcareGov,Issuer_Partner_Lookup,agentbroker_contact_phone_number,2025-01-13
HealthcareGov,Issuer_Partner_Lookup,agentbroker_contact_email_address,2025-01-13
HealthcareGov,Issuer_Partner_Lookup,shop_plans_offered,2025-01-13
HealthcareGov,Issuer_Partner_Lookup,standalone_dental_plans_offered,2025-01-13
