catalog,title,field,modified
HealthcareGov,Benefits and Cost Sharing PUF,businessyear,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,statecode,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,issuerid,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,sourcename,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,importdate,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,standardcomponentid,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,planid,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,benefitname,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,copayinntier1,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,copayinntier2,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,copayoutofnet,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,coinsinntier1,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,coinsinntier2,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,coinsoutofnet,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,isehb,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,iscovered,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,quantlimitonsvc,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,limitqty,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,limitunit,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,exclusions,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,explanation,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,ehbvarreason,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,isexclfrominnmoop,2025-05-06
HealthcareGov,Benefits and Cost Sharing PUF,isexclfromoonmoop,2025-05-06
HealthcareGov,Business Rules PUF,businessyear,2025-05-06
HealthcareGov,Business Rules PUF,statecode,2025-05-06
HealthcareGov,Business Rules PUF,issuerid,2025-05-06
HealthcareGov,Business Rules PUF,sourcename,2025-05-06
HealthcareGov,Business Rules PUF,importdate,2025-05-06
HealthcareGov,Business Rules PUF,medicaldentalboth,2025-05-06
