catalog,title,field,modified
OpenPay,General Payment Data,change_type,2024
OpenPay,General Payment Data,covered_recipient_type,2024
OpenPay,General Payment Data,teaching_hospital_ccn,2024
OpenPay,General Payment Data,teaching_hospital_id,2024
OpenPay,General Payment Data,teaching_hospital_name,2024
OpenPay,General Payment Data,covered_recipient_profile_id,2024
OpenPay,General Payment Data,covered_recipient_npi,2024
OpenPay,General Payment Data,covered_recipient_first_name,2024
OpenPay,General Payment Data,covered_recipient_middle_name,2024
OpenPay,General Payment Data,covered_recipient_last_name,2024
OpenPay,General Payment Data,covered_recipient_name_suffix,2024
OpenPay,General Payment Data,recipient_primary_business_street_address_line1,2024
OpenPay,General Payment Data,recipient_primary_business_street_address_line2,2024
OpenPay,General Payment Data,recipient_city,2024
OpenPay,General Payment Data,recipient_state,2024
OpenPay,General Payment Data,recipient_zip_code,2024
OpenPay,General Payment Data,recipient_country,2024
OpenPay,General Payment Data,recipient_province,2024
OpenPay,General Payment Data,recipient_postal_code,2024
OpenPay,General Payment Data,covered_recipient_primary_type_1,2024
OpenPay,General Payment Data,covered_recipient_primary_type_2,2024
OpenPay,General Payment Data,covered_recipient_primary_type_3,2024
OpenPay,General Payment Data,covered_recipient_primary_type_4,2024
OpenPay,General Payment Data,covered_recipient_primary_type_5,2024
OpenPay,General Payment Data,covered_recipient_primary_type_6,2024
OpenPay,General Payment Data,covered_recipient_specialty_1,2024
OpenPay,General Payment Data,covered_recipient_specialty_2,2024
OpenPay,General Payment Data,covered_recipient_specialty_3,2024
OpenPay,General Payment Data,covered_recipient_specialty_4,2024
OpenPay,General Payment Data,covered_recipient_specialty_5,2024
OpenPay,General Payment Data,covered_recipient_specialty_6,2024
OpenPay,General Payment Data,covered_recipient_license_state_code1,2024
OpenPay,General Payment Data,covered_recipient_license_state_code2,2024
OpenPay,General Payment Data,covered_recipient_license_state_code3,2024
OpenPay,General Payment Data,covered_recipient_license_state_code4,2024
OpenPay,General Payment Data,covered_recipient_license_state_code5,2024
OpenPay,General Payment Data,submitting_applicable_manufacturer_or_applicable_gpo_name,2024
OpenPay,General Payment Data,applicable_manufacturer_or_applicable_gpo_making_payment_id,2024
OpenPay,General Payment Data,applicable_manufacturer_or_applicable_gpo_making_payment_name,2024
OpenPay,General Payment Data,applicable_manufacturer_or_applicable_gpo_making_payment_state,2024
OpenPay,General Payment Data,applicable_manufacturer_or_applicable_gpo_making_payment_country,2024
OpenPay,General Payment Data,total_amount_of_payment_usdollars,2024
OpenPay,General Payment Data,date_of_payment,2024
OpenPay,General Payment Data,number_of_payments_included_in_total_amount,2024
OpenPay,General Payment Data,form_of_payment_or_transfer_of_value,2024
OpenPay,General Payment Data,nature_of_payment_or_transfer_of_value,2024
OpenPay,General Payment Data,city_of_travel,2024
OpenPay,General Payment Data,state_of_travel,2024
OpenPay,General Payment Data,country_of_travel,2024
OpenPay,General Payment Data,physician_ownership_indicator,2024
OpenPay,General Payment Data,third_party_payment_recipient_indicator,2024
OpenPay,General Payment Data,name_of_third_party_entity_receiving_payment_or_transfer_of_ccfc,2024
OpenPay,General Payment Data,charity_indicator,2024
OpenPay,General Payment Data,third_party_equals_covered_recipient_indicator,2024
OpenPay,General Payment Data,contextual_information,2024
OpenPay,General Payment Data,delay_in_publication_indicator,2024
OpenPay,General Payment Data,record_id,2024
OpenPay,General Payment Data,dispute_status_for_publication,2024
OpenPay,General Payment Data,related_product_indicator,2024
OpenPay,General Payment Data,covered_or_noncovered_indicator_1,2024
OpenPay,General Payment Data,indicate_drug_or_biological_or_device_or_medical_supply_1,2024
OpenPay,General Payment Data,product_category_or_therapeutic_area_1,2024
OpenPay,General Payment Data,name_of_drug_or_biological_or_device_or_medical_supply_1,2024
OpenPay,General Payment Data,associated_drug_or_biological_ndc_1,2024
OpenPay,General Payment Data,associated_device_or_medical_supply_pdi_1,2024
OpenPay,General Payment Data,covered_or_noncovered_indicator_2,2024
OpenPay,General Payment Data,indicate_drug_or_biological_or_device_or_medical_supply_2,2024
OpenPay,General Payment Data,product_category_or_therapeutic_area_2,2024
OpenPay,General Payment Data,name_of_drug_or_biological_or_device_or_medical_supply_2,2024
OpenPay,General Payment Data,associated_drug_or_biological_ndc_2,2024
