catalog,title,field,modified
Provider,Dialysis Facility - Listing by Facility,cms_certification_number_ccn,2025-03-24
Provider,Dialysis Facility - Listing by Facility,network,2025-03-24
Provider,Dialysis Facility - Listing by Facility,facility_name,2025-03-24
Provider,Dialysis Facility - Listing by Facility,five_star_date,2025-03-24
Provider,Dialysis Facility - Listing by Facility,five_star,2025-03-24
Provider,Dialysis Facility - Listing by Facility,five_star_data_availability_code,2025-03-24
Provider,Dialysis Facility - Listing by Facility,address_line_1,2025-03-24
Provider,Dialysis Facility - Listing by Facility,address_line_2,2025-03-24
Provider,Dialysis Facility - Listing by Facility,citytown,2025-03-24
Provider,Dialysis Facility - Listing by Facility,state,2025-03-24
Provider,Dialysis Facility - Listing by Facility,zip_code,2025-03-24
Provider,Dialysis Facility - Listing by Facility,countyparish,2025-03-24
Provider,Dialysis Facility - Listing by Facility,telephone_number,2025-03-24
Provider,Dialysis Facility - Listing by Facility,profit_or_nonprofit,2025-03-24
Provider,Dialysis Facility - Listing by Facility,chain_owned,2025-03-24
Provider,Dialysis Facility - Listing by Facility,chain_organization,2025-03-24
Provider,Dialysis Facility - Listing by Facility,late_shift,2025-03-24
Provider,Dialysis Facility - Listing by Facility,of_dialysis_stations,2025-03-24
Provider,Dialysis Facility - Listing by Facility,offers_incenter_hemodialysis,2025-03-24
Provider,Dialysis Facility - Listing by Facility,offers_peritoneal_dialysis,2025-03-24
Provider,Dialysis Facility - Listing by Facility,offers_home_hemodialysis_training,2025-03-24
Provider,Dialysis Facility - Listing by Facility,certification_date,2025-03-24
Provider,Dialysis Facility - Listing by Facility,claims_date,2025-03-24
Provider,Dialysis Facility - Listing by Facility,eqrs_date,2025-03-24
Provider,Dialysis Facility - Listing by Facility,smr_date,2025-03-24
Provider,Dialysis Facility - Listing by Facility,patient_survival_category_text,2025-03-24
Provider,Dialysis Facility - Listing by Facility,patient_survival_data_availability_code,2025-03-24
Provider,Dialysis Facility - Listing by Facility,number_of_patients_included_in_survival_summary,2025-03-24
Provider,Dialysis Facility - Listing by Facility,mortality_rate_facility,2025-03-24
Provider,Dialysis Facility - Listing by Facility,mortality_rate_upper_confidence_limit_975,2025-03-24
